member_casual,start_station_name,total_rides
member,"Laflin St & Cullerton St",1663
casual,"Milwaukee Ave & Rockwell St",1660
casual,"Ashland Ave & Wrightwood Ave",1659
casual,"Paulina St & Flournoy St",1655
casual,"Leavitt St & Armitage Ave",1648
casual,"Wood St & Chicago Ave",1643
casual,"Damen Ave & Lake St",1639
member,"Oakley Ave & Irving Park Rd",1632
casual,"Aberdeen St & Carroll Ave",1628
member,"Richmond St & Diversey Ave",1626
casual,"Damen Ave & Wicker Park Ave",1624
casual,"Southport Ave & Clybourn Ave",1623
member,"Damen Ave & Madison St",1610
member,"Avers Ave & Belmont Ave",1609
member,"Chicago Ave & Washington St",1589
member,"Lincoln Ave & Winona St",1588
casual,"Damen Ave & Wellington Ave",1586
member,"Indiana Ave & 26th St",1586
member,"Halsted St & Archer Ave",1583
member,"Peoria St & Kinzie St",1582
member,"California Ave & Byron St",1557
casual,"Wood St & Augusta Blvd",1555
casual,"Sheridan Rd & Lawrence Ave",1548
casual,"Ellis Ave & 53rd St",1548
casual,"Damen Ave & Grand Ave",1547
member,"Malcolm X College",1540
member,"Wabash Ave & Cermak Rd",1536
casual,"Lincoln Ave & Belle Plaine Ave",1536
member,"Wells St & Washington St",1524
member,"Wabash Ave & Washington St",1522
casual,"California Ave & Francis Pl",1519
casual,"Campbell Ave & North Ave",1518
casual,"Throop St & Taylor St",1516
casual,"Leavitt St & North Ave",1510
casual,"Halsted St & 18th St",1508
casual,"Wilton Ave & Diversey Pkwy*",1501
casual,"Seeley Ave & Roscoe St",1498
casual,"Wabash Ave & Cermak Rd",1494
casual,"Orleans St & Elm St",1491
casual,"Paulina St & 18th St",1487
member,"Troy St & Elston Ave",1485
member,"Halsted St & 21st St",1479
casual,"MLK Jr Dr & 29th St",1479
member,"Hampden Ct & Diversey Ave",1478
casual,"Blue Island Ave & 18th St",1475
member,"LaSalle St & Jackson Blvd Corral",1474
member,"Claremont Ave & Hirsch St",1473
casual,"Leavitt St & Chicago Ave",1469
casual,"Ashland Ave & Augusta Blvd",1464
casual,"Albany Ave & Bloomingdale Ave",1462
member,"Leavitt St/North Ave",1460
casual,"Western Ave & Leland Ave",1460
casual,"Broadway & Ridge Ave",1454
member,"Cherry Ave & Blackhawk St",1452
casual,"Kimball Ave & Belmont Ave",1445
member,"Leavitt St & Addison St",1443
casual,"Artesian Ave & Hubbard St",1443
casual,"Broadway & Oakdale Ave",1442
casual,"N Green St & W Lake St",1436
casual,"Leavitt St & Belmont Ave",1435
member,"Damen Ave & Cullerton St",1425
casual,"Sedgwick St & Schiller St",1422
casual,"California Ave & North Ave",1416
member,"Franklin St & Adams St Corral",1416
casual,"Sheridan Rd & Loyola Ave",1409
member,"Monticello Ave & Irving Park Rd",1408
casual,"Kedzie Ave & Palmer Ct",1408
casual,"Stave St & Armitage Ave",1399
casual,"Lincoln Ave & Byron St",1399
casual,"Hampden Ct & Diversey Pkwy",1386
casual,"Ellis Ave & 58th St",1382
casual,"Southport Ave & Clark St",1377
casual,"Ravenswood Ave & Irving Park Rd",1373
member,"Kosciuszko Park",1369
casual,"University Ave & 59th St",1363
member,"Greenwood Ave & 47th St",1358
member,"Campbell Ave & Fullerton Ave",1355
member,"Hoyne Ave & Balmoral Ave",1346
member,"Albany Ave & Montrose Ave",1346
member,"Halsted St & 35th St",1341
member,"Sheridan Rd & Greenleaf Ave",1339
member,"Indiana Ave & 31st St",1333
casual,"Green St & Lake St ",1333
casual,"Clybourn Ave & Division St",1329
member,"Lake Park Ave & 35th St",1313
casual,"Larrabee St & Menomonee St",1313
casual,"Clark St & Arlington Pl",1313
casual,"Wolcott Ave & Polk St",1308
casual,"Leavitt St & Division St",1306
member,"Noble St & Ohio St",1305
casual,"Loomis St & Jackson Blvd",1299
member,"Smith Park",1298
casual,"Clark St & Lunt Ave",1298
casual,"California Ave & Division St",1298
member,"Emerald Ave & 28th St",1296
casual,"Racine Ave & Washington Blvd",1294
member,"Ogden Ave & Roosevelt Rd",1278
member,"University Library (NU)",1273
member,"LaSalle St & Calhoun Pl ",1271
casual,"W Armitage Ave & N Sheffield Ave",1268
member,"Winchester (Ravenswood) Ave & Balmoral Ave",1267
casual,"Racine Ave & Randolph St",1258
member,"Shields Ave & 28th Pl",1247
member,"Lake Park Ave & 47th St",1246
casual,"Blackstone Ave & Hyde Park Blvd",1241
casual,"Damen Ave & Madison St",1237
member,"Wentworth Ave & 33rd St",1232
casual,"Paulina St & Montrose Ave",1231
member,"N Southport Ave & W Newport Ave",1230
casual,"Lincoln Ave & Addison St",1223
casual,"Logan Blvd & Elston Ave",1223
member,"Paulina St & Howard St",1219
member,"Hudson Ave & Armitage Ave",1218
casual,"Chicago Ave & Washington St",1212
casual,"California Ave & Fletcher St",1207
casual,"Racine Ave & Congress Pkwy",1204
casual,"Damen Ave & Melrose Ave",1201
member,"Drake Ave & Addison St",1194
member,"Lincoln Ave & Dickens Ave",1191
casual,"Lincoln Ave & Waveland Ave",1188
member,"Milwaukee Ave & Ainslie St",1186
casual,"Damen Ave & Sunnyside Ave",1186
casual,"Wells St & 19th St",1185
member,"Spaulding Ave & Division St",1179
member,"Central Park Ave & Bloomingdale Ave",1177
member,"Wells St & Madison St",1177
member,"Kedzie Ave & Leland Ave",1163
casual,"Leavitt St & Lawrence Ave",1162
casual,"Franklin St & Washington St",1158
casual,"Glenwood Ave & Morse Ave",1146
casual,"Greenview Ave & Jarvis Ave",1144
member,"W Washington Blvd & N Peoria St",1144
casual,"State St & 33rd St",1143
member,"Western Ave & Congress Pkwy",1137
casual,"Damen Ave & Clybourn Ave",1133
casual,"University Library (NU)",1127
member,"Troy St & North Ave",1126
member,"Wentworth Ave & 35th St",1123
member,"Western Ave & Lunt Ave",1120
member,"Christiana Ave & Lawrence Ave",1094
casual,"Richmond St & Diversey Ave",1087
casual,"Leavitt St & Addison St",1086
casual,"Morgan Ave & 14th Pl",1086
member,"Green St & Chicago Ave",1086
member,"Halsted St & Belden St",1086
member,"Francisco Ave & Chicago Ave",1085
casual,"Talman Ave & Addison St",1082
casual,"Halsted St & Archer Ave",1077
member,"Clark St & Eddy St ",1072
member,"Glenwood Ave & Touhy Ave",1069
member,"Wells St & Randolph St Corral",1059
casual,"St. Louis Ave & Fullerton Ave",1056
casual,"Drexel Ave & 60th St",1045
casual,"Morgan St & 31st St",1043
casual,"Fort Dearborn Dr & 31st St",1041
member,"Streeter Dr/Grand Ave",1035
casual,"Central Park Ave & Elbridge Ave",1030
casual,"Fulton Market",1029
casual,"Lake Park Ave & 35th St",1024
member,"Eastlake Ter & Howard St",1022
casual,"Clinton St & 18th St",1018
casual,"Ashland Ave & Belle Plaine Ave",1011
member,"Manor Ave & Leland Ave",1005
member,"Sangamon St & Adams St",1005
casual,"Clark St & Schreiber Ave",1002
casual,"California Ave & Altgeld St",1002
member,"Morgan St & Hubbard St",998
member,"Western Ave & Granville Ave",996
casual,"Wood St & Hubbard St",996
casual,"Ravenswood Ave & Berteau Ave",994
member,"Halsted St & Armitage Ave",994
casual,"Hermitage Ave & Polk St",988
casual,"Peterson/Ridge Metra",986
casual,"Campbell Ave & Fullerton Ave",983
casual,"Wabash Ave & Washington St",983
member,"Sawyer Ave & Irving Park Rd",978
casual,"Canal St & Harrison St",976
member,"Rockwell St & Fletcher St",974
casual,"Laflin St & Cullerton St",969
casual,"California Ave & Montrose Ave",964
casual,"State St & 19th St",960
member,"Elston Ave & George St",955
member,"Paulina St & Division St",955
member,"Calumet Ave & 35th St",954
casual,"Elston Ave & Wabansia Ave",954
member,"N Paulina St & Lincoln Ave",952
member,"Dorchester Ave & 49th St",949
casual,"Racine Ave & 15th St",945
casual,"Kosciuszko Park",944
casual,"Halsted St & 35th St",935
member,"Clark St & Jarvis Ave",926
casual,"Winchester Ave & Elston Ave",926
member,"Lincoln Ave & Montana St",926
casual,"Indiana Ave & 26th St",924
casual,"Avers Ave & Belmont Ave",922
casual,"Wentworth Ave & 35th St",920
member,"California Ave & Granville Ave",917
member,"Wabansia & Milwaukee",913
casual,"Damen Ave & Cullerton St",912
casual,"Wentworth Ave & 24th St",900
member,"Halsted St & North Branch St",899
casual,"Damen Ave & Wabansia Ave",899
casual,"Ogden Ave & Congress Pkwy",889
casual,"Avondale Ave & Irving Park Rd",888
casual,"Sheridan Rd & Columbia Ave",886
casual,"Campbell Ave & Montrose Ave",886
casual,"Clark St & Elmdale Ave",884
casual,"Emerald Ave & 31st St",883
casual,"Evanston Civic Center",880
casual,"Central Park Ave & Bloomingdale Ave",869
casual,"Halsted St & 21st St",867
member,"Racine Ave & 13th St",860
casual,"Wood St & Taylor St (Temp)",857
casual,"Paulina St & Howard St",856
member,"Dearborn St & Adams St Corral",852
member,"Western Ave & Berteau Ave",847
member,"Kedzie Ave & George St",846
casual,"Western Ave & Roscoe St",845
member,"Wallace St & 35th St",840
member,"Western Ave & Grace St",838
casual,"Calumet Ave & 33rd St",837
casual,"Wells St & Washington St",829
casual,"Dearborn St & Division St",825
member,"Keystone Ave & Fullerton Ave",822
casual,"63rd St Beach",821
casual,"Hoyne Ave & Balmoral Ave",814
casual,"Clark St & Eddy St ",812
member,"The Salt Shed",808
member,"Monticello Ave & Lawrence Ave",806
casual,"Campbell Ave & Augusta Blvd",806
member,"Woodlawn Ave & Lake Park Ave",802
casual,"Dearborn St & Maple St",800
casual,"N Southport Ave & W Newport Ave",797
member,"Drake Ave & Montrose Ave",796
casual,"Troy St & North Ave",796
casual,"Claremont Ave & Hirsch St",795
casual,"The Salt Shed",787
member,"Warren Park West",780
member,"Western Ave & Monroe St",778
casual,"N Carpenter St & W Lake St",776
casual,"Wood St & Beach Ave",772
member,"Western Ave & 21st St",771
casual,"State St & 35th St",770
casual,"Rockwell St & Eastwood Ave",767
member,"St Clair St & Ohio St",766
member,"St. Louis Ave & Balmoral Ave",763
casual,"Halsted St & Belden St",753
member,"Racine Ave & Broadway",753
casual,"California Ave & Byron St",750
member,"LaSalle St & Calhoun Pl Corral",747
member,"Wentworth Ave & 24th St",744
casual,"Sheridan Rd & Greenleaf Ave",743
casual,"Halsted St & North Branch St",741
casual,"Peoria St & Kinzie St",741
casual,"Wood St & Webster Ave",739
casual,"Spaulding Ave & Division St",736
member,"LaSalle St & Adams St Corral",730
casual,"Lincoln Ave & Dickens Ave",729
member,"Larrabee St & Clybourn Ave",727
member,"Halsted St & Lake St",724
member,"Keystone Ave & Montrose Ave",721
member,"Wacker Dr & Randolph St",718
casual,"Shields Ave & 31st St",717
casual,"Sheffield/Newport Corral",716
casual,"Hudson Ave & Armitage Ave",715
member,"South Shore Dr & 71st St",714
casual,"Hampden Ct & Diversey Ave",713
casual,"Christiana Ave & Lawrence Ave",712
member,"MLK Jr Dr & Pershing Rd",710
casual,"Lake Park Ave & 47th St",709
casual,"Rockwell St & Fletcher St",706
member,"Normal Ave & Archer Ave",705
member,"McCormick Blvd & Devon Ave",704
member,"Evanston Civic Center",701
casual,"Kedzie Ave & Leland Ave",699
member,"N Damen Ave & W Chicago Ave",698
member,"Western Ave & Howard St",695
member,"Prairie Ave & Garfield Blvd",694
casual,"Albany Ave & Montrose Ave",690
casual,"Wentworth Ave & 33rd St",687
member,"Bernard St & Elston Ave",678
casual,"Ashland Ave & 13th St",676
casual,"Eddy/Seminary Corral",673
member,"Ridge Blvd & Touhy Ave",672
casual,"Wells St & Madison St",670
casual,"Glenwood Ave & Touhy Ave",659
member,"Francisco Ave & Montrose Ave",658
casual,"Francisco Ave & Chicago Ave",658
member,"Milwaukee Ave & Armitage Ave",657
casual,"Indiana Ave & 31st St",652
member,"Loomis St & Archer Ave",650
casual,"Central St Metra",648
casual,"Washtenaw Ave & Lawrence Ave",639
casual,"Clark St & Columbia Ave",639
member,"Carpenter St & Fulton St",639
member,"Kedzie Ave & Bryn Mawr Ave",634
member,"Sheffield/Newport Corral",629
member,"Kedzie Ave & Foster Ave",627
member,"Elmwood Ave & Austin St",622
casual,"May St & Cullerton St",621
member,"Central Park Ave & North Ave",612
casual,"Troy St & Elston Ave",612
member,"Larrabee St & Kingsbury St 1",612
member,"Ashland Ave & Archer Ave",610
casual,"Western Ave & Congress Pkwy",609
member,"2112 W Peterson Ave",608
casual,"Eastlake Ter & Howard St",606
member,"Karlov Ave & Armitage Ave",605
casual,"Harper Ave & 59th St",604
casual,"Noble St & Ohio St",604
casual,"Drake Ave & Addison St",601
member,"Bosworth Ave & Howard St",601
casual,"Monticello Ave & Irving Park Rd",601
member,"Cottage Grove Ave & 63rd St",599
casual,"Milwaukee Ave & Ainslie St",597
casual,"Archer Ave & Wentworth Ave",595
member,"Wells St & 19th St",592
casual,"Winchester (Ravenswood) Ave & Balmoral Ave",592
casual,"Oakley Ave & Irving Park Rd",590
casual,"Morgan St & Hubbard St",589
casual,"Lincoln Ave & Winona St",588
casual,"Smith Park",587
member,"Warren Park East",586
member,"Knox Ave & Montrose Ave",581
member,"Fort Dearborn Dr & 31st St",581
casual,"Woodlawn Ave & Lake Park Ave",580
member,"Central St Metra",574
member,"Maplewood Ave & Peterson Ave",568
member,"Clark St & Touhy Ave",568
casual,"Rhodes Ave & 32nd St",568
member,"Leavitt St & Augusta Blvd",566
casual,"Wacker Dr & Washington St Corral",561
member,"Rush St & Illinois St",561
casual,"Francisco Ave & Foster Ave",560
casual,"Lincoln Ave & Montana St",555
member,"Clinton St & Polk St",553
casual,"Kedzie Ave & 48th Pl",553
member,"Ridge Blvd & Howard St",551
casual,"Western Ave & Grace St",550
member,"South Shore Dr & 67th St",549
casual,"Broadway & Sunnyside Ave",548
member,"Kedzie Ave & Armitage Ave",545
member,"Francisco Ave & Bloomingdale Ave",544
member,"Leavitt St & Archer Ave",543
casual,"Drake Ave & Montrose Ave",542
member,"California Ave & Lake St",542
casual,"Cottage Grove Ave & Oakwood Blvd",542
member,"Clark St & Fletcher St",539
casual,"Central Park Ave & North Ave",538
casual,"Clinton St & Polk St",538
casual,"Wabansia & Milwaukee",538
member,"Archer Ave & Wentworth Ave",537
member,"LaSalle St & Washington St Corral N",535
member,"California Ave & 21st St",532
casual,"Leavitt St/North Ave",531
member,"Troy St & Grace St",531
casual,"Prairie Ave & Garfield Blvd",531
member,"Broadway & Roscoe Ave",526
member,"Seminary Ave & Belden Ave",523
casual,"Malcolm X College",518
member,"Lincoln Ave & Balmoral Ave",513
casual,"Leavitt St & Archer Ave",513
casual,"South Shore Dr & 71st St",513
casual,"Waveland/Racine Corral",513
casual,"Kedzie Ave & George St",512
casual,"Addison/Racine Corral",507
member,"Damen Ave & St Paul Ave",507
member,"Kilbourn Ave & Belden Ave",501
casual,"Green St & Chicago Ave",499
member,"Dorchester Ave & 63rd St",498
casual,"Calumet Ave & 35th St",496
member,"Lincoln Ave & Peterson Ave",493
casual,"Halsted St & Armitage Ave",493
member,"Whipple/Irving Park",490
casual,"Central St & Girard Ave",486
casual,"Elston Ave & George St",486
member,"Kenneth Ave & Lawrence Ave",482
casual,"St Clair St & Ohio St",481
casual,"Clark/Newport Corral",479
casual,"MLK Jr Dr & Pershing Rd",474
member,"Ping Tom Park (East)",473
casual,"Francisco Ave & Bloomingdale Ave",473
member,"Burling St & Armitage Ave",472
member,"Eddy/Seminary Corral",471
member,"Paulina St & Cortland St",471
casual,"Milwaukee Ave & Wabansia Ave",470
member,"N Shore Channel Trail & Argyle St",469
member,"Wood St & 35th St",466
member,"Cottage Grove Ave & 51st St",466
casual,"Cherry Ave & Blackhawk St",465
casual,"Elmwood Ave & Austin St",464
member,"Central St & Girard Ave",460
member,"Elston Ave & Henderson St",459
casual,"Wallace St & 35th St",459
casual,"Clark St & Jarvis Ave",459
casual,"Rush St & Illinois St",459
member,"Valli Produce - Evanston Plaza",451
member,"Kostner Ave & Wrightwood Ave",450
member,"Western Ave & 24th St",447
casual,"South Shore Dr & 67th St",440
member,"Cottage Grove Ave & 47th St",437
member,"Larrabee St & Kingsbury St 2",437
member,"Waveland/Racine Corral",434
member,"Kedzie Ave & Chicago Ave",433
member,"Racine Ave & 35th St",431
casual,"Greenwood Ave & 47th St",428
casual,"Halsted St & Lake St",428
casual,"Emerald Ave & 28th St",427
member,"LaSalle St & Washington St Corral",423
member,"Budlong Woods Library",420
casual,"Ashland Ave & Archer Ave",420
casual,"Western Ave & Monroe St",420
casual,Clark/Eddy,420
casual,"LaSalle St & Calhoun Pl ",420
member,"Kilbourn Ave & Irving Park Rd",419
member,"Oakley Ave & Touhy Ave",418
member,"Dodge Ave & Church St",418
casual,"Franklin St & Adams St Corral",417
casual,"N Paulina St & Lincoln Ave",416
casual,"Knox Ave & Montrose Ave",415
member,"DuSable Museum",414
member,"Albany Ave & Belmont Ave",413
member,"Western Ave & Wabansia Ave",411
casual,"Francisco Ave & Montrose Ave",409
casual,"Racine Ave & 35th St",408
member,"Sheffield Ave & Fletcher St",408
casual,"Shields Ave & 28th Pl",406
casual,"Manor Ave & Leland Ave",405
member,"Dodge Ave & Main St",402
member,"Sacramento Blvd & Addison St",401
casual,"Western Ave & 21st St",400
casual,"Wells St & Randolph St Corral",398
member,"Kedzie Ave & 21st St",395
casual,"Burling St & Armitage Ave",389
member,"63rd St Beach",388
casual,"Kedzie Ave & Foster Ave",388
casual,"Archer & Wentworth",388
member,"Public Rack - Woodlawn Ave & 63rd St N",381
casual,"W Washington Blvd & N Peoria St",379
member,"Addison/Racine Corral",377
member,"Malden St & Wilson Ave",377
casual,"Western Ave & Fillmore St",372
member,"Clark/Newport Corral",372
casual,"Midway Orange Line",370
casual,"Pulaski Rd & 51st St",369
member,"Wolcott Ave & Fargo Ave",368
member,"Broadway & Cuyler Ave",368
casual,"Bernard St & Elston Ave",367
casual,"Western Ave & Howard St",366
member,"Leavitt St & Hirsch St",366
member,"Damen Ave/Coulter St",360
casual,"Sawyer Ave & Irving Park Rd",359
casual,"Elston Ave & Henderson St",356
member,"Public Rack - Hyde Park Blvd & 55th St",354
member,"Calumet Ave & 51st St",354
casual,"Warren Park East",354
casual,"Milwaukee Ave & Armitage Ave",354
casual,"Clark/Racine Corral",353
member,Clark/Eddy,351
casual,"McCormick Blvd & Devon Ave",346
member,"Hastings LWS",346
casual,"Racine/Eddy Corral",346
member,"California Ave & 23rd Pl",344
member,"Cottage Grove Ave & Oakwood Blvd",342
casual,"Stony Island Ave & 63rd St",342
casual,"Franklin St & Adams St (Temp)",339
casual,"Keystone Ave & Fullerton Ave",338
member,"Kedzie Ave & Lake St",338
casual,"Dodge Ave & Church St",337
member,"Western Ave & Gunnison St",336
casual,"Sacramento Blvd & Addison St",336
casual,"Dearborn St & Adams St Corral",335
member,"Cottage Grove Ave & 43rd St",334
casual,"Racine Ave & 13th St",333
member,"Kildare Ave & Montrose Ave",332
casual,"Western Ave & Granville Ave",332
casual,"Prairie Ave & 43rd St",332
casual,"Central Park Ave & Ogden Ave",331
casual,"Sangamon St & Adams St",330
casual,"Western Ave & 24th St",329
member,"Stony Island Ave & 63rd St",329
member,"Archer & Wentworth",327
member,"Public Rack - Washtenaw Ave & Superior St",325
casual,"State St & 95th St",325
casual,"Wacker Dr & Randolph St",323
member,"Racine Ave & Webster Ave",323
casual,"California Ave & Lake St",322
casual,"Racine Ave & Broadway",322
member,"Central Park Ave & Ardmore Ave",320
member,"Lockwood Ave & Wrightwood Ave",316
member,"Pulaski Rd & Eddy St",314
casual,"Dorchester Ave & 63rd St",313
casual,"Dorchester Ave & 49th St",312
member,"Halsted St & 37th St",311
member,"Public Rack - Kedzie Ave & Argyle St",310
member,"Jeffery Blvd & 71st St",309
member,"Karlov Ave & Lawrence Ave",309
casual,"Loomis St & Archer Ave",309
member,"Grace/Sheffield Corral",307
member,"St Louis Ave & Foster Ave",306
casual,"Valli Produce - Evanston Plaza",306
casual,"Leavitt St & Hirsch St",306
member,"Washtenaw Ave & Ogden Ave",305
member,"Western Ave & Lake St",305
member,"Michigan Ave & 11th St",305
member,"Kedzie Ave & 48th Pl",303
casual,"Campbell Ave & Irving Park Rd",303
casual,"MLK Jr Dr & 47th St",301
casual,"Kildare Ave & Montrose Ave",300
casual,"Larrabee St & Clybourn Ave",300
member,"North Boundary Park",299
member,"Milwaukee Ave & Cuyler Ave",299
casual,"Pulaski Rd & Eddy St",299
member,"Racine/Eddy Corral",299
member,"Milwaukee Ave & Agatite Ave",298
member,"Springfield Ave & North Ave",298
casual,"Addison Red Line",298
casual,"LaSalle St & Jackson Blvd Corral",297
casual,"Seminary Ave & Belden Ave",297
casual,"Ridge Blvd & Touhy Ave",296
casual,"Jeffery Blvd & 67th St",296
casual,"Calumet Ave & 51st St",294
casual,"Kedzie Ave & 57th St",294
casual,"Paulina St & Division St",292
member,"Campbell Ave & Irving Park Rd",291
member,"MLK Jr Dr & 47th St",291
member,"California Ave & Winona St",291
casual,"Western Ave & Lunt Ave",291
casual,Clark/Newport,291
casual,"Conservatory Dr & Lake St",290
member,"Public Rack - Milwaukee Ave & Diversey Ave",290
member,"Pine Grove Ave & Wellington Ave",290
casual,"Dodge Ave & Main St",288
casual,"Warren Park West",287
member,"Cottage Grove Ave & 67th St",285
casual,"Halsted St & 37th St",285
member,"State St & 29th St",284
member,"Dodge Ave & Mulford St",284
casual,"Narragansett Ave & Wrightwood Ave",284
casual,"Cottage Grove Ave & 51st St",284
casual,"Addison/Sheffield SW Corral",284
casual,"Rockwell St & Archer Ave",283
member,"Wood St & Cortland St",283
member,"Lavergne Ave & Lawrence Ave",282
casual,"Cottage Grove Ave & 63rd St",282
casual,"Lincolnwood Dr & Central St",281
member,"University Ave & 65th St",280
casual,"Addison/Wilton Corral",280
member,"Pulaski Rd & 51st St",279
member,"Rockwell St & Cermak Rd",278
casual,"Milwaukee Ave & Cuyler Ave",278
member,"Rockwell St & Archer Ave",277
casual,"Ogden Ave & Roosevelt Rd",277
casual,"Laramie Ave & Irving Park Rd",274
casual,"Troy St & Grace St",274
casual,"Cottage Grove Ave & 43rd St",273
member,"Sacramento Ave & Lyndale St",273
member,"Hoyne Ave & 47th St",272
member,"Kilbourn Ave & Diversey Ave",271
casual,"Clark St & Touhy Ave",271
member,"Public Rack - Hamlin Ave & Montrose Ave",269
member,"Stony Island Ave & 71st St",269
casual,"Portage Park",269
member,"Lock St & 31st St",267
casual,"Albany Ave & Belmont Ave",265
member,"Sacramento Blvd & Fulton Ave",265
member,"Lockwood Ave & Grand Ave",264
casual,"Carpenter St & Fulton St",263
casual,"Keystone Ave & Montrose Ave",258
member,"Edgebrook Metra",258
member,"Franklin St & Madison St",258
casual,"Racine Ave & Webster Ave",257
member,"Jeffery Blvd & 67th St",256
member,"Kenosha Ave & Wellington Ave",256
casual,"Whipple/Irving Park",256
member,"Central Park Ave & Ogden Ave",254
casual,"Western Blvd & 48th Pl",253
casual,"Kedzie Ave & Armitage Ave",253
casual,"Ping Tom Park (East)",252
casual,"Kedzie Ave & 21st St",251
casual,"Fairfield Ave & 44th St",250
member,"Prairie Ave & 43rd St",249
casual,"Kedzie Ave & Lake St",249
member,"Rockwell Ave & Logan Blvd",248
member,"Archer (Damen) Ave & 37th St",247
casual,"South Shore Dr & 74th St",247
casual,"Western Ave & Berteau Ave",247
casual,"California Ave & 21st St",246
member,"Cicero Ave & Wrightwood Ave",244
member,"Sedgwick St & Chicago Ave",244
member,"Clark/Racine Corral",243
casual,"Monticello Ave & Lawrence Ave",242
member,"Kilbourn Ave & Roscoe St",242
member,"Sheffield/Cornelia Corral",241
casual,"Damen Ave/Coulter St",240
casual,"Kilbourn Ave & Milwaukee Ave",240
member,"Public Rack - Christiana Ave & Belmont Ave",239
member,"Ashland Ave & Pershing Rd",238
member,"Virginia Ave & Catalpa Ave",238
casual,"Sheffield/Cornelia Corral",238
member,"Western Ave & Lyndale St",237
casual,"Western Ave & Wabansia Ave",236
casual,"Kedzie Ave & Bryn Mawr Ave",234
casual,"Leavitt St & Augusta Blvd",232
casual,"Ridge Blvd & Howard St",230
casual,"Hoyne Ave & 47th St",229
member,"Kilpatrick Ave & Grand Ave",228
casual,"Public Rack - Washtenaw Ave & Superior St",228
casual,"LaSalle St & Adams St Corral",226
member,"Southport Ave & Grace St",226
casual,"Broadway & Roscoe Ave",226
casual,"University Ave & 65th St",225
member,"Lowell Ave & Armitage Ave",223
casual,"Normal Ave & Archer Ave",223
member,"Western Ave & Ardmore Ave",223
casual,"Michigan Ave & 11th St",222
casual,"N Damen Ave & W Chicago Ave",221
member,"Harper Ave & 55th St",220
member,"Midway Orange Line",218
member,"Addison Red Line",217
member,"Lavergne Ave & Fullerton Ave",216
member,"Conservatory Dr & Lake St",216
casual,"Austin Blvd & Lake St",214
member,"Lincolnwood Dr & Central St",214
casual,"Washtenaw Ave & Ogden Ave",213
casual,"Springfield Ave & North Ave",213
member,"Sacramento Blvd & Franklin Blvd",212
casual,"Karlov Ave & Armitage Ave",212
member,"Linder Ave & Montrose Ave",211
casual,"North Boundary Park",211
casual,"2112 W Peterson Ave",210
member,"Kedzie Ave & 57th St",208
member,"Wallace St & Pershing Rd",208
member,"Central Park & Augusta Blvd",208
member,"Public Rack - Spaulding Ave & Evergreen Ave",208
member,"Halsted St & Melrose St",208
member,"Keeler Ave & Carmen Ave",207
casual,"Oakley Ave & Touhy Ave",207
member,"Hyacinth Ave & Milwaukee Ave",207
member,"Sheridan Rd & Berwyn Ave",207
casual,"Budlong Woods Library",206
member,"Komensky Ave & 31st St",205
casual,"Kedzie Ave & Chicago Ave",205
member,"Wallace St & 28th St",204
member,"Princeton Ave & 47th St",203
casual,"Addison/Sheffield SE Corral",203
member,"Western Blvd & 48th Pl",202
member,"South Shore Dr & 74th St",201
member,"Kildare Ave & North Ave",201
casual,"Fairfield Ave & Pratt Blvd",200
casual,"Paulina St & Cortland St",200
member,"Addison/Wilton Corral",199
casual,"DuSable Museum",198
casual,"California Ave & Granville Ave",198
casual,"Dan Ryan Woods & 83rd St",197
member,Clark/Newport,196
casual,"Walden Pkwy & 100th St",195
casual,"LaSalle St & Calhoun Pl Corral",195
casual,"Shabbona Park",194
member,"Daley Center Plaza Corral",194
member,"Halsted St & 51st St",193
member,"Public Rack - Drake Ave & Leland Ave",193
casual,"Big Marsh Park",193
member,"Stony Island Ave & 75th St",192
member,"Bernard St & Peterson Ave",192
casual,"Maplewood Ave & Peterson Ave",192
casual,"Kostner Ave & Bryn Mawr Ave",191
member,"Public Rack - Hyde Park Blvd & 53rd St",191
member,"California & 16th St",191
casual,"Lincoln Ave & Balmoral Ave",191
casual,"Damen Ave & St Paul Ave",191
member,"Richmond St & Lincoln Ave",190
member,"Menard Ave & Lawrence Ave",189
casual,"Kilbourn Ave & Irving Park Rd",189
member,"Public Rack - Milwaukee Ave & Haussen Ct",189
casual,"St. Louis Ave & Balmoral Ave",188
casual,"Cottage Grove Ave & 67th St",188
member,"Public Rack - Jensen Park",187
member,"Franklin St & Monroe St Corral",187
casual,"Karlov Ave & Lawrence Ave",186
member,"Melvina Ave & Giddings Ave",186
casual,"Lowell Ave & Armitage Ave",185
casual,"N Shore Channel Trail & Argyle St",184
casual,"Princeton Ave & 47th St",183
member,"Kostner Ave & Belmont Ave",182
casual,"Western Ave & Lake St",182
casual,"Paulina St & Adams St",182
casual,"State St & 29th St",180
member,"Public Rack - Rockwell & Division",180
casual,"Laramie Ave & Addison St",179
member,"Fairfield Ave & Pratt Blvd",178
member,"Central Ave & Chicago Ave",178
casual,"Grace/Sheffield Corral",178
member,"Paulina St & Adams St",178
member,"Public Rack - Washtenaw Ave & Devon Ave",177
member,"Addison/Sheffield SW Corral",177
casual,"Lincoln Ave & Peterson Ave",176
member,"Kilbourn Ave & Milwaukee Ave",176
casual,"Cumberland Ave & Catherine Ave",176
member,"Sheffield Ave & Fullerton Ave*",176
casual,"Clark St & Fletcher St",176
casual,"Grace St & Cicero Ave",175
